62.5, 10.805084745762713
62.5, 31.25
104, 53.17796610169489
155.42857142857142, 78.07203389830511
204.2857142857143, 102.43644067796612
251.8571428571429, 125.74152542372883
285.9285714285715, 142.6906779661017
328.3571428571429, 163.87711864406782
348.28571428571433, 172.35169491525426
395.8571428571429, 163.34745762711864
455.64285714285717, 153.8135593220339
482.00000000000006, 150.10593220338984
491.64285714285717, 110.91101694915253
496.1428571428572, 72.77542372881356
500.64285714285717, 11.334745762711862

